genre,affinity_score,age_band,income_band,metro_tier,estimated_count
action,0.72,18-24,under_50k,top_25,680000
action,0.68,25-34,50k_100k,top_10,590000
action,0.61,25-34,100k_150k,top_25,410000
action,0.55,35-44,50k_100k,top_50,520000
sci_fi,0.78,18-24,under_50k,top_25,430000
sci_fi,0.82,25-34,50k_100k,top_10,510000
sci_fi,0.75,25-34,150k_plus,top_10,280000
sci_fi,0.65,35-44,100k_150k,top_25,340000
drama,0.70,35-44,100k_150k,top_50,590000
drama,0.74,45-54,50k_100k,other,640000
drama,0.68,55-64,100k_150k,top_50,410000
comedy,0.65,18-24,under_50k,top_50,750000
comedy,0.62,25-34,50k_100k,top_25,620000
comedy,0.59,35-44,50k_100k,other,580000
documentary,0.72,35-44,100k_150k,top_10,320000
documentary,0.78,45-54,150k_plus,top_10,260000
documentary,0.70,55-64,100k_150k,top_25,290000
thriller,0.68,25-34,50k_100k,top_10,480000
thriller,0.64,35-44,100k_150k,top_25,390000
animation,0.75,18-24,under_50k,top_50,520000
animation,0.60,25-34,50k_100k,top_25,380000
romance,0.65,25-34,under_50k,other,460000
romance,0.70,35-44,50k_100k,other,510000
streaming_high,0.85,18-24,50k_100k,top_10,690000
streaming_high,0.88,25-34,100k_150k,top_10,760000
streaming_high,0.82,35-44,150k_plus,top_25,530000
streaming_medium,0.60,45-54,50k_100k,top_50,820000
streaming_medium,0.55,55-64,50k_100k,other,710000
