surface,genre_daypart,device,subscription_status,estimated_count
svod,broad,any,3_plus_services,18400000
svod_ad_supported,broad,any,ad_tier_active,22800000
fast,broad,any,free_active,14600000
streaming_only,broad,any,cord_cut,28000000
hybrid,broad,any,cord_shaved,11200000
linear_cable,broad,tv,full_cable,19400000
sports_live,sports,any,any,34000000
news_national,news,any,any,16800000
reality,lifestyle,any,any,12400000
daypart_morning,news_kids,tv,any,11600000
daypart_primetime,broad,tv,any,42000000
device_smart_tv,n_a,smart_tv,any,38000000
device_roku,n_a,roku,any,22000000
device_fire_tv,n_a,fire_tv,any,17000000
device_apple_tv,n_a,apple_tv,any,6400000
device_gaming_console,n_a,ps_xbox_switch,any,16800000
mobile_ios,n_a,iphone,any,118000000
mobile_android,n_a,android,any,102000000
mobile_5g,n_a,mobile,5g_active,78000000
wifi_gigabit_home,n_a,home_broadband,500mbps_plus,42000000
